store_id,uptime_last_hour,downtime_last_hour,uptime_last_day,downtime_last_day,uptime_last_week,downtime_last_week
8139926242460185114,420.0,0.0,1120.0,0.0,7840.0,0.0
5415949628544298339,360.0,0.0,980.0,0.0,6860.0,0.0
3408529570017053440,0,0,0,0,0,0
9055649751952768824,0.0,720.0,0.0,6542.61,0.0,45798.26
4428372089193592098,0,0,0,0,0,0
2689959411535120475,366.67,53.33,880.0,128.0,6160.0,896.0
8297996490922435741,0.0,420.0,0.0,975.48,0.0,6828.39
1050565545391667097,720.0,0.0,6542.61,0.0,45798.26,0.0
3483930781272060942,0.0,420.0,0.0,840.0,0.0,5880.0
1740222068509982431,0.0,420.0,0.0,876.52,0.0,6135.65
